学校名称,专业中文名称,专业原名称（官网名称）,内容
不来梅大学 , 工业数学和数据分析,Industrial Mathematics and Data Analysis,"1.        官网：https://www.uni-bremen.de/en/studies/orientation-application/offered-study-program/dbs/study/32?cHash=08cfcc9bdaa788180906f53a09c2dee3
2.        项目基本信息：
a)        学位：Master of Science
b)        学习时间：4个学期  (Full Time)
c)        授课语言：英语
d)        开始时间：冬季和夏季
e)        学费：无学费，有学期费
3.        申请时间：
e)        冬季学期：3月1日至4月30日
f)        夏季学期：8月1日至10月15日
4.        申请方式(仅网申)：
5.        通过学校网申系统提交申请，申请系统网址：https://moin.uni-bremen.de/scripts/mgrqispi.dll?APPNAME=CampusNet&PRGNAME=EXTERNALPAGES&ARGUMENTS=-N000000000000002,-N000309,-AHomeenWelcome
6.        申请材料：
-        高中毕业证+公证件
-        学位证+毕业证+公证件
-        成绩单+公证件
-        APS
-        语言成绩
7.        授课语言：英语B2- 5.5
8.        入学基本要求
a)        拥有数学、自然科学或工程科学学位或其他学科的第一学位，并具有至少180学分（学分=CP），或者具有与上述学科在内容、范围和要求上没有实质性差异的学位。
b)         数学领域至少90学分的证明。
c)         在技术应用领域或计算机科学领域至少24学分的证明。
d)        德语A1（可注册时再交）
e)        用英语写的动机信，包括以下内容：
解释对“工业数学和数据分析”硕士学位的特别兴趣（申请动机），
指定想学习的技术应用领域。
匹配度要求： 
编程经验：python、Matlab、R 或同等语言
扎实的实分析、多元微积分和线性代数（矩阵理论）知识
常微分方程：皮亚诺定理、皮卡德-林德洛夫定理
勒贝格积分：L_p 空间，勒贝格支配收敛定理
泛函分析：Banach 和 Hilbert 空间、线性算子、弱收敛
概率论：随机变量、概率分布、大数定律
数值数学：
线性系统：LU 分解、迭代求解器（共轭梯度）
非线性方程和系统：Banach 不动点定理、牛顿法内插和外推
数值积分：Newton-Cotes 公式、高斯求积
常微分方程：龙格-库塔方法
通过有限差分逼近导数
评分标准：绩点评分最高80分
 
动机信评分标准：动机信满分20
如果提供了清晰且与资格目标明确和完整相匹配的陈述，则得20分。
如果提供了与资格目标相匹配且适当的陈述，则得15分。
如果陈述能够合理地涉及资格目标，则得5分。

9.	硕士课程：
第一学期的共同起点是两门必修讲座：“数据分析和图像处理的数学方法”和“偏微分方程的数值方法”。学生根据这些课程选择数据分析或工业数学进行专业化。随后学期的选修课程包括讲座和研讨会，以深化专业知识和扩展其他领域，主题可能涉及机器学习、反问题、应用统计学、参数识别等。
该硕士课程的核心项目是“建模项目”，学生团队解决来自实际问题的现实世界问题，利用数学建模、分析和优化技术为客户找到答案。
课程还包括技术应用领域的课程，学生选择电气工程、机械工程、地球科学、应用物理或计算机科学作为辅修科目，并参加相应部门提供的硕士课程。
"
不来梅大学 ,数学,Mathematics,"1.	官网：https://www.uni-bremen.de/en/studies/orientation-application/offered-study-program/dbs/study/29?cHash=464fb971dce0b7af9a07066adeee8ea7
2.	项目基本信息：
a)	学位：Master of Science
b)	学习时间：4个学期  (Full Time)
c)	授课语言：英语
d)	开始时间：冬季和夏季
e)	学费：无学费，有学期费
3.	申请时间：
g)	冬季学期：3月1日至4月30日
h)	夏季学期：8月1日至10月15日
4.	申请方式(仅网申)：
5.	通过学校网申系统提交申请，申请系统网址：https://moin.uni-bremen.de/scripts/mgrqispi.dll?APPNAME=CampusNet&PRGNAME=EXTERNALPAGES&ARGUMENTS=-N000000000000002,-N000309,-AHomeenWelcome
6.	申请材料：
-	高中毕业证+公证件
-	学位证+毕业证+公证件
-	成绩单+公证件
-	APS
-	语言成绩
7.	授课语言：英语B2- 5.5
8.	入学基本要求
f)	拥有数学、自然科学或工程科学学位或其他学科的第一学位，并具有至少180学分（学分=CP），或者具有与上述学科在内容、范围和要求上没有实质性差异的学位。
g)	 数学领域至少90学分的证明。
h)	 在技术应用领域或计算机科学领域至少24学分的证明。
i)	德语A1（可注册时再交）
j)	用英语写的动机信，包括以下内容：
解释对申请“数学”硕士专业的特别兴趣（申请动机），
指定一个想要深入研究的数学领域（代数、分析、数值或统计/概率）。
总结：确少数值分析模块的知识。
评分标准：绩点评分最高80分
 
动机信评分标准：动机信满分20
如果提供了清晰且与资格目标明确和完整相匹配的陈述，则得20分。
如果提供了与资格目标相匹配且适当的陈述，则得15分。
如果陈述能够合理地涉及个人目标，则得5分。
9.	硕士课程：
理科数学硕士是一个为期4个学期的硕士课程，总共包括120个学分（CP）。该课程提供4个专业领域：代数、分析、数值分析和统计/随机学，并包括两种不同的学习方式：
有申请主题的学生：
专业化（66 CP）：包括两门专业讲座（每门9 CP）、两场研讨会（每场4.5 CP）、阅读课程（9 CP）和硕士论文（30 CP）
拓宽（27 CP）：包括两次讲座（每次9 CP）和两次研讨会（每次4.5 CP）
选修课（9 CP）：选择一门额外的专业或拓展讲座（9 CP）
申请科目（18 CP）：从生物学、化学、电气或机械工程、地球科学、计算机科学、哲学、物理学或经济学中选择
无申请主题的学生：
专业化（45 CP或36 CP）：包括两门专业讲座（每门9 CP）、两门研讨会（每门4.5 CP）、一到两门阅读课程（每门9 CP）和硕士论文（每门30 CP）
拓展课程（27 CP 或 36 CP）：包括两次拓展讲座（每次9 CP）、两次研讨会（每次4.5 CP）以及（如果适用）一门阅读课程（9 CP）
选修课（9 CP）：选择一门额外的专业或拓展讲座（9 CP）
自由选择（9 CP）：从03系的模块或不莱梅大学常识科中选择
 
"
波茨坦大学,数学,Mathematics,"1.        官网：https://www.uni-potsdam.de/en/studium/application-enrollment/application-master/consecutive.html
2.        项目基本信息：
a)        学位：Master of Science
b)        学习时间：4个学期  (Full Time)
c)        授课语言：英语
d)        开始时间：冬季和夏季
e)        学费：无学费，有学期费
3.        申请时间：
a)        冬季学期：4月1日开始
b)        夏季学期：11月1日开始 
4.        申请方式：
先通过uni assist 申请，再通过官网申请：https://www.uni-potsdam.de/en/studium/application-enrollment/application-master/admissions-portal

5.        申请材料：
-        高中毕业证+公证件
-        学位证+毕业证+公证件
-        成绩单+公证件
-        APS
-        语言成绩
6.        授课语言：英语B2- 5.5
 
7.        入学基本要求
a)        入学前了解内容：https://www.math.uni-potsdam.de/fileadmin/user_upload/images/Dateien/Self-assessment.pdf
包括，分析，几何，代数，测度论，
b)        本科为数学、工业数学或经济数学或者具备70ECTS数学学分
c)        英语B1，雅思至少3，5
 

选拔标准：
a) 平均成绩或当前平均成绩：占90%
b) 与入学相关的本科学位后获得的其他资格证明 占10%，分为以下几部分：
在国外学习和研究至少一个月的时间（5%）
职业实习或职业经验，如果申请人能够证明其与计划的硕士项目相关（5%）。
8.        硕士课程：
学习内容分为以下两部分：
物理学联系的数学结构：
物理学作为基础科学领域，涉及许多未解答的数学问题，涵盖从广义相对论到量子场论的广泛范围。这些问题促使了数学领域许多分支的新发展，包括分析、几何和概率论等。在受物理学启发的数学结构专业中，您将获得必要的基础知识，并将其应用于当前最热门的研究领域。
基本概念在微分几何、泛函分析、偏微分方程和概率论等分支的课程中进行教学。在高级课程中，您可以选择进一步专注于其中两个或多个分支。针对当前研究主题的讲座和研讨会将使您了解当今现代研究的最新进展，其中一些活动是与阿尔伯特·爱因斯坦引力物理研究所联合举办的。
概述：
基础课程：微分几何1、泛函分析1、偏微分方程1、概率论
高级课程：微分几何2、泛函分析2、偏微分方程2、随机过程、随机分析
专业课程：从分析、微分几何、数学物理、偏微分方程、概率论等领域中选择
辅修：物理学或进一步的高级和专业课程
数学建模和数据分析：该专业旨在为学生提供在跨学科环境中掌握数学建模、模拟、数据同化和数据分析所需的全面理论基础和实践技能。
重点培养学生的数学能力，使其能够将数学作为统一的科学语言，从而制定和传达复杂的知识和假设。这种方法使他们能够将理论结果与数值模拟相结合，并与实验数据进行比较。硕士课程与波茨坦大学的研究优势领域密切合作，涵盖认知科学、计算机科学、地球科学、生命科学、药理学和（生物）物理学等应用领域。当前的研究主题包括阅读过程中眼球运动的建模和分析、药物活性成分在体内的分布、阿米巴原虫沿着营养梯度的运动以及地震预报和气候建模等问题。
概述：
基础课程：跨学科数学综述
高级课程：偏微分方程、泛函分析、随机过程、统计数据分析、贝叶斯推理和数据同化、数值优化、随机分析、机器学习数学、高斯过程、金融数学、强化学习、偏微分方程数值、理论系统生物学
学科课程：认知科学、计算机科学、经济学、生命科学、药理学、物理学
 
"
柏林自由大学,数学,Mathematics,"1.	官网：https://www.fu-berlin.de/en/studium/studienangebot/master/mathematik/index.html 
项目网址：https://www.mi.fu-berlin.de/en/math/stud/mathemaster/index.html 
2.	项目基本信息：
f)	学位：Master of Science
g)	学习时间：4个学期
h)	授课语言：可以仅英语
i)	开始时间：冬季和夏季
j)	学费：无学费；有学期费
k)	入学第一学期为NC
3.	申请时间(2024的时间)：
c)	冬季学期：4月24日 - 5月31日
d)	夏季学期：12月1日 - 1月15日
 
4.	申请方式：Uni-assist (网申)
Uni-assist网址：https://my.uni-assist.de/ 
 
5.	申请材料：
-	毕业证学位证+公证件
-	成绩单+公证件
-	语言成绩
-	APS
-	其他额外材料
 
 
申请材料网址：https://www.fu-berlin.de/en/studium/bewerbung/master/konsekutive-masterstudiengaenge/uni-assist/index.html 
6.	授课语言：英语/德语 (可以仅英语)
 
7.	匹配度情况说明：
该专业入学要求为：
-	与该校本科相符合的数学本科
-	英语成绩达标
该专业没有列出具体每个模块的学分要求，所以我们根据该校数学本科课程结构进行匹配度分析。
基本模块	学分(至少83分)
分析1+2	20
分析3	11
线形代数	20
计算数学1+2	10
数值	12
随机	10
专业领域模块	学分(25-35分)
Seminar	5
选修	20-30
职业模块	学分(30分)
硕士论文	学分(12分)

8.	硕士课程：
Mathematics	FUB 学分
基础模块	50
中间模块	5
高级模块	5
补充模块	30
硕士论文	30
 
硕士课程共十个可选择研究领域：
−	代数
−	微分几何
−	偏微分方程
−	离散几何
−	离散数学
−	动态系统
−	数值
−	随机
−	拓扑
−	数论
 
必须从一下的模块中完成50学分
-	基础模块：代数 I (10 LP)
-	基本模块：代数 II (10 LP)
-	基础模块：微分几何 I（10 LP）
-	基本模块：微分几何 II (10 LP)
-	基本模块：离散几何 I (10 LP)
-	基本模块：离散几何 II (10 LP)
-	基础模块：离散数学 I (10 LP)
-	基础模块：离散数学 II (10 LP)
-	基本模块：动态系统 I (10 LP)
-	基本模块：动态系统 II (10 LP)
-	基本模块：数值 II (10 LP)
-	基本模块：数值 III (10 LP)
-	基础模块：偏微分方程 I (10 LP)
-	基本模块：偏微分方程 II (10 LP)
-	基本模块：随机指标 II (10 LP)
-	基本模块：随机指标 III (10 LP)
-	基本模块：拓扑 I (10 LP)
-	基本模块：拓扑 II (10 LP)
-	基础模块：数论 II (10 LP)
 
每个学期会提供至少三个基本模块
必须在已完成的基本模块中选择一个领域，完成5学分的中级模块，中级模块包括：
-	代数 III (5 LP)
-	微分几何 III (5 LP)
-	离散几何 III (5 LP)
-	离散数学 III (5 LP)
-	动态系统 III (5 LP)
-	数值 IV (5 LP)
-	偏微分方程 III (5 LP)
-	随机IV (5 LP)
-	拓扑 III (5 LP)
-	数论 III (5 LP)
 
必须基于已完成的基本模块以及对应5学分的中级模块，选择对应的5学分高级模块，高级模块包括：
-	代数硕士研讨会（5 LP）
-	微分几何硕士研讨会（5 LP）
-	离散几何硕士研讨会（5 LP）
-	离散数学硕士研讨会（5 LP）
-	动态系统硕士研讨会（5 LP）
-	数值硕士研讨会（5 LP）
-	偏微分方程硕士研讨会（5 LP）
-	随机硕士研讨会（5 LP）
-	拓扑硕士研讨会（5 LP）
-	数论硕士研讨会 (5 LP)
 
 
具体PDF：https://www.fu-berlin.de/service/zuvdocs/amtsblatt/2018/ab192018.pdf#P.370 
如果想读数值或者计算科学方向可以选择numeric类的课，有30个学分。有的课是英语教学，但有的是英语或德语，暂时还无法确定具体授课语言
module catalogue：https://www.fu-berlin.de/vv/en/fach?id=190000&sm=754328 
9.	备注
a)	建议尽早提交材料
 
b)	最多申请两个专业
"
柏林自由大学,数据科学,Data Science,"Data Science
1.	官网：https://www.fu-berlin.de/en/studium/studienangebot/master/data-science/index.html 
项目网址：https://www.mi.fu-berlin.de/en/data-science/index.html 
2.	项目基本信息：
a)	学位：Master of Science
b)	学习时间：4个学期
c)	授课语言：英语
d)	开始时间：冬季
e)	学费：无学费；有学期费
f)	NC
3.	申请时间(2024的时间)：
a)	冬季学期：4月24日 - 5月31日
b)	夏季学期：12月1日 - 1月15日
 
4.	申请方式：Uni-assist (网申)
Uni-assist网址：https://my.uni-assist.de/ 
 
5.	申请材料：
-	毕业证学位证+公证件
-	成绩单+公证件
-	语言成绩
-	APS
-	自测表
https://www.mi.fu-berlin.de/en/data-science/_inhaltselemente-rd/downloads/MSc_Data_Science_Selbstauskunft_2022-_PDF_.pdf 
 
 
申请材料网址：https://www.fu-berlin.de/en/studium/bewerbung/master/konsekutive-masterstudiengaenge/uni-assist/index.html 
6.	授课语言：英语C1
 
7.	匹配度情况说明：
该专业入学要求为：
a)	语言要求达标
b)	本科为计算机科学或相关领域且至少180学分
c)	本科必须包括至少20学分的数学模块和至少10学分的计算机科学模块，其中
-	数学模块 (至少20学分)
线性代数或微积分至少5学分
概率论或统计至少10学分
-	计算机科学模块 (至少10学分)
算法至少5学分
高级编程语言至少5学分，例如C/C++、Java 或者Python
数学模块(至少20学分)
线形代数/微积分	学分(至少5分)
高等代数1+2	10*1.5
数学分析1+2+3	16*1.5
概率/统计	学分(至少10分)
概率论	3*1.5
数理统计学	3*1.5
统计与数据分析	（1*1.5)
计算机模块 (至少10学分)
算法	学分(至少5分)
算法分析与设计	2.0*1.5
高级编程语言	学分(至少5分)
C语言程序设计	3.0*1.5
二级C语言程序设计	1.0*1.5
二级C++程序设计	1.0*1.5
Python程序设计	2.5*1.5

评分标准
总分100分=成绩80分+实习/实践经历10分(数据科学领域)+额外培训10分(数据科学领域)
实践/工作经历：不少于450小时
额外培训：至少150小时，例如网课证书等
 
  
8.	硕士课程：
基础必修模块	30学分
数据科学统计	10
数据科学机器学习	10
数据科学编程	5
应用模块介绍	5
可选应用领域	60学分
Data Science in Life Science	/
Data Science Technologies	/
硕士论文	30学分
 
"
哥廷根大学,应用数据科学,Applied Data Science,"1.	官网：https://www.uni-goettingen.de/en/643211.html 
项目网址：https://www.uni-goettingen.de/en/642405.html 
2.	项目基本信息：
g)	学位：Master of Science
h)	学习时间：4个学期
i)	授课语言：英语(一些选修课程是德语)
j)	开始时间：冬季(推荐)和夏季
k)	学费：无学费
3.	申请时间(2024的时间)：
c)	冬季学期：5月1日
d)	夏季学期：11月1日
 
4.	申请方式：Online Application Form
注意：国际生和EU学生用的form不同，如果要申请，注意别交错
 
5.	申请材料：
-	毕业证学位证+公证件
-	成绩单+公证件
-	CV
-	英语证明
-	个人陈述(最多300字)：申请这个项目的动机+符合该项目的技能、竞争力
 
申请材料网址：https://www.uni-goettingen.de/en/642406.html 
6.	授课语言：英语德语/英语C1
雅思6.5
 
7.	网上测试 Aptitude Test
 
为了参加这个online aptitude test，所有申请人必须在online portal里注册，注册后会收到网申链接
 
注意：要考过60%才行
8.	匹配度情况说明：
该专业入学要求为：
a)	语言成绩达标
b)	至少180ECTS学分的计算机科学、数据科学、统计、数学或者相关专业的本科
c)	申请时至少已经完成150ECTS
d)	至少60学分的数据科学、计算机科学、数学或统计知识
数学模块：>60中国学分
统计模块：7中国学分
数据、计算机科学模块：12.5中国学分左右
 
如果满足以上要求的人超过提供的学习位置，则进行以下评分程序，最后按照评分排名录取。
评分标准
总分80=成绩51+额外知识5分+面试结果24分
 
成绩51分
 
额外经历/知识等最多得5分
奖学金 – 3分
海外交换 – 3分
至少8周的校外实习 – 2分
相关领域的职业培训 – 2分
至少8周科研经历-1分
至少1年的学校组织的经历 – 1分
 
面试表现24分
知识点0-12分
职业/专业经历0-6分
学习动机0-6分
 
9.	硕士课程：
核心模块49ECTS
数据科学基础
数据科学统计
数据科学计算机科学方法
应用领域41ECTS
应用方向，包括：neuroscience，bioinformatics，medical DS， digital humanities
实习、实验等跨学科课程
其他ds相关选修课
硕士论文30ECTS"
海德堡大学,科学计算,SCIENTIFIC COMPUTING,"1.	官网：https://www.uni-heidelberg.de/en

项目网页：https://www.uni-heidelberg.de/en/study/all-subjects/scientific-computing
2.	项目基本信息：
l)	学位：Master of Science
m)	学习时间：4个学期 
n)	授课语言：英语
o)	开始时间：夏季或冬季
p)	学费：1500欧元每个学期学期费
3.	申请时间：
e)	冬季学期：5月1日 – 6月15日
f)	夏季学期：10月1日 - 11月15日
4.	申请方式：
学校网申系统提交申请：https://heico.uni-heidelberg.de/heiCO/ee/ui/ca2/app/desktop/#/login

5.	申请材料：
-	本科毕业证（毕业生；在读生可以上传在读证明）+英/德翻译件
-	成绩单+英/德翻译件
-	APS

项目的申请材料
-	英语成绩证明（可后补）
-	简历
-	课程描述
-	成绩单(已包括至少120ECTS)
-	动机信
-	APS
6.	授课语言：英语
 
托福最低90；雅思最低6.5
7.	评分标准和匹配度情况说明：
匹配度要求：
1数学模块：总共至少24个ECT，每个至少6个ECT。
1.1线性代数:场、向量空间、线性映射、基变化、特征向量和特征值、行列式、双线性形式、正交性和等距，包括在各自学科领域进行独立推理的能力。
1.2分析:序列，级数，多个变量中的可微性和可积性基础知识，泰勒展开，三角函数，包括各自学科领域的独立证据能力。

2拓展模块至少6个ECT
2.1数值，优化，概率论，统计学，泛函分析，微分方程，科学计算和数学数据科学，包括各自学科领域的独立推理能力;

3计算机科学(总共至少 24 个 ECT): 
3.1基本技能(每个至少 6个ECT)
3.1.1实用计算机科学:常见的编程概念，例如变量、类、重载和专业化的可见性区域.
3.1.2算法和数据结构:基本数据结构，如列表、堆栈和队列、排序和搜索算法(尤其是堆排序、合并排序、快速排序以及搜索树和线性列表)、哈希方法和基本图形算法(尤其是深度和广度搜索)
3.2扩展能力 (至少 6个ECT)
图像处理、计算机图形学和可视化、数据库系统、并行和分布式系统、机器学习、软件工程;

4应用领域(至少 16 ECT)
海德堡大学科学计算硕士课程中规定的应用领域的先前知识。“
应用领域如：
金融数学，数学建模等，满足需求。

最后，申请需要根据学院网站上提供的样本，提供一份概述，说明在哪些模块或哪些模块中 
提交一份动机信，列出申请人的教育和职业发展以及本科所学习的课程相关的履历。
以及要求绩点在2.5以上
8.	硕士课程： 

硕士课程主要侧重于数学专业领域，注重科学计算。除了深入学习专业知识外，学生还将培养数学和计算机科学的科学方法论能力。具体包括：
从数学方面：
1.	常微分方程和偏微分方程的数值方法
2.	统计和数据分析
3.	微分几何和计算机代数
4.	线性和非线性优化方法
5.	流体力学中的计算方法
从计算机科学方面：
1.	并行计算
2.	科学可视化
3.	混合/整数编程
4.	空间数据库
以下是主要的课程内容：
核心计算机科学课程
高级机器学习
算法工程
算法与数据结构2
复杂网络分析
计算机图形学
机器学习基础
几何建模与动画
硬件感知科学计算
机器学习
大规模数据挖掘
面向科学计算的面向对象编程
机器学习优化
科学可视化
文本分析
以上是来自MSc Technische Informatik的模块
其他计算机科学课程
计算几何
计算机游戏
实用几何
随机算法
核心数学课程
应用分析和建模基础模块
数值分析和优化基础课程
统计学和概率论基础模块
应用分析和建模进阶模块
高级数值分析和优化课程
统计学和概率论进阶模块
应用分析和建模专业模块
数值分析和优化专题
统计学和概率论专业模块
各类专业通用模块
研讨会
高级软件实践
应用领域
应用领域实验室实习
硕士论文
关键能力课程
LaTeX排版系统介绍
"
海德堡大学,数据和计算机科学,DATA AND COMPUTER SCIENCE,"1. 官网：
https://www.uni-heidelberg.de/en/study/all-subjects/computer-science/data-and-computer-science-master
2. 授课语言：英语B2，雅思6.5
 
3. 申请日期：
冬季学期：4.1 - 5.15
 
4. 申请方式：网申
https://heico.uni-heidelberg.de/heiCO/ee/ui/ca2/app/desktop/#/login
5. 申请材料：无特殊材料
6. 匹配度说明和选拔标准
 
计算机科学、数学、自然科学或工程学科目成绩达到 100%，或获得公认的同等学位
 
通过(a)项所述学位证明具备计算机科学知识或其他经证明的计算机科学知识，总计 32 个 CP，其中至少 6 个 CP 可分配给第 1 项和第 2 项所列的两个领域，至少6CP可分配给第 3 至第 5 项所列领域中的两个领域 满足
①　算法和数据结构：算法基础以及运行时复杂性和数据结构；
②　实用计算机科学：编程基础、面向对象编程和软件工程学；
③　理论计算机科学：形式语言、自动化和复杂性理论
④　计算机体系结构：交换代数、顺序逻辑、流水线、存储层次结构和分布式系统和网络；
⑤　数学基础：向量空间、线性映射和单变量函数分析以及序列和数列。
 
大学成绩2.5以上or申请人在其所报考的课程中属于考试成绩前 20%的学生
7. 硕士学习内容
https://www.informatik.uni-heidelberg.de/c/image/f/default/pdfs/mhb2023/MHB_Informatik_MSc_DaCS_2022-23_WiSe.pdf
选修课方向
 
- 可视计算 (VC)
- 软件系统与工程 (SE)
- 科学计算（SC）
- 算法数据分析与机器学习（AM）
- 算法与理论计算机科学（AT）
- 计算机工程（CE）
选修课内容：
 
3D 计算机视觉 (I3dCVi)
高级机器学习（IAML）
算法工程（IAE）
编程智能（IAIP）
复杂网络分析（INA）
计算几何（ICGeo）
计算机游戏（ICS）
凸面优化
离散结构 2 (IDS2)
机器学习基础（IFML）
几何建模与动画（IGMA）
硬件感知科学计算（IHASC）
信息技术项目管理（IPM）
逆问题（IIP）
机器学习（IML）
海量数据集挖掘 (IMMD)
数值优化
机器学习优化 (10ML)
实用几何 (IP Geo)
科学可视化（ISV）
软件进化（ISWEvol）
软件经济学 (ISwOk)
体积可视化 (IVV)
软件工程中的知识管理与决策
软件工程中的知识管理与决策（ISWKM）
计算机工程硕士学位（MScTI）的所有基础和高级模块
计算机工程学硕士（MScTI）
"
柏林工业大学,科学计算,Scientific Computing ,"1.	官网：https://www.tu.berlin/en/studying/study-programs/all-programs-offered/study-course/scientific-computing-m-sc 
2.	项目基本信息：
a)	学位：Master of Science
b)	学习时间：4个学期  (Full Time)
c)	授课语言：英语
d)	开始时间：仅冬季
e)	学费：学期费
f)	录取: Open Admission
3.	申请时间：6月1日 - 8月31日
 
4.	申请方式：
国内本科学位需通过uni-assist申请（纯网申），uni-assist网址：https://my.uni-assist.de/ 
申请步骤(具体操作见链接)：
a)	在uni-assist注册账号
b)	选择你要申请的硕士项目和学期
c)	填写申请表
d)	上传所有的申请材料 – (带英/德翻译件/公证件)
注意：
a)	每个学期只能申请一个硕士项目
b)	uni-assist先审核材料，符合要求的申请会发给学校，然后TUB会给你发送一个链接用于查询申请状态或者输入uni的申请号，无需在TUB portal重新注册
c)	建议尽早申请
具体申请步骤：https://www.tu.berlin/en/i-a-office-of-student-affairs/masters-application-enrollment/application/applying-via-uni-assist 
5.	申请材料：
项目的申请材料：
-	申请表(在uni-assist申请的时候会自动创建)
-	学位证+毕业证+公证件
-	成绩单+公证件(最好能带学分说明)
-	课程描述(最好能按照硕士项目要求给课程分好类)
-	培养计划(study and examinations regulations)，如果有
-	APS
-	语言成绩
Scientific Computing项目额外的申请表：https://www.static.tu.berlin/fileadmin/www/10002460/Bewerben_und_Einschreiben/Master/Studiengangsspezifische_Zugangsvoraussetzungen/Scientific_Computing_Zusatzformular_fuer_die_Masterbewerbung.pdf 
-	 护照
 
6.	授课语言：英语
接受的语言成绩：
 
该硕士项目要求B2，对应雅思6.5
7.	入学基本要求和匹配度情况说明
a)	数学、商业数学、技术数学或者其他具备足够数学知识的本科学位
b)	分析/线性代数领域至少18学分
c)	微分方程领域至少6个学分
d)	数值分析至少9个学分
e)	英语达到B2
 

具体课程匹配(根据TUB对应的course description)：

模块	学分要求
分析/线性代数	18
微分方程	6
数值分析	9

TUB的Analysis2+3主要内容是度量空间、基本拓扑、向量微分、偏导数、隐函数、泰勒定理、常微分解的相关理论、测度论、傅立叶，分析领域还包括复分析和泛函分析. 
TUB的代数1主要是群、环、域的概念及其相关定理；代数2的主要是基于1进一步学习相关定理，例如：伽罗瓦理论、张量积、希尔伯特零点定理等，和近世代数有部分重合,线性代数的内容与高等代数重合，分析/线性代数模块总体符合。
TUB的微分方程A学的是平稳微分方程问题、Sobolev 空间、线性变分问题、Lax-Milgram 引理、Zarantonello 定理、Galerkin 方法的泛函分析公式和处理，微分方程B是非线性平稳微分方程问题、Browder、Minty 和 Brezi 定理、势算子，和国内的常微偏微体系不太相同，但常微还是可以算进去的，有部分内容是重合的。
数值分析模块的课，有数值分析，最优化导论和算法分析与设计 
8.硕士课程：
Scientific Computing	学分
必修	科学计算	10
	数值线性代数	10
	工程数值数学	10
选修	数学	26
	应用领域	18
自由选修	16
硕士论文	30

 

"
卡尔斯鲁厄理工学院,数学,Mathematics ,"1.	官网：https://www.math.kit.edu/lehre/page/studinternational/en
2.	项目基本信息：
a)	学位：Master of Science
b)	学习时间：4个学期 
c)	授课语言：英语
d)	开始时间：夏季或冬季
e)	学期费：每学期1500欧元
3.	申请时间：
i)	冬季学期：截止7月15日
j)	夏季学期：截止1月15日
4.	申请方式：
通过国际学生办公室的网页申请提交申请：https://bewerbung.studium.kit.edu/prod/campus/Portal/Start?l=en
5.	申请材料：
-	本科毕业证（毕业生；在读生可以上传在读证明）+英/德翻译件
-	成绩单+英/德翻译件
-	APS
项目的申请材料
-	英语成绩证明（可后补）
-	简历
-	课程描述
-	成绩单(已包括至少120ECTS)
-	动机信
-	APS
6.	授课语言：英语：
托福最低90；雅思最低6.5
7.	评分标准和匹配度情况说明：
匹配度要求：无匹配度具体要求，但参考KIT数学专业本科学生学习内容：
总共有：代数和几何、分析、应用和数值数学以及随机这几大模块。
其中随机模块更多的是概率统计的内容。
8.	硕士课程： 
1. 学位学分要求：
硕士学位总共需要 120 个学分。
平均分布在 4 个学期中，每学期大致需要 30 个学分。
2. 主要科目选择（Fach 1 和 Fach 2）：
必须选择两门主要科目，其中一门必须是代数（Ag）或分析（An）。
第一主科至少获得 24 个学分，第二主科至少获得 16 个学分。
3. 补充科目（Fach 3）：
可以选择补充科目来满足学分要求。
可以选择 Ag、An、Nu 或 St 之一的补充科目，也可以从其他部门提供的课程中获得学分。
补充科目需获得 16 到 24 个学分。
4. 专业化科目（Fach 5）：
必须通过选修 Ag、An、Nu 或 St 的专业科目来获得学分。
学生需要获得 14 到 22 个学分。
专业点和补充点加起来至少应为 38。
5. 研讨会（Fach 4）：
必须参加 Ag、An、Nu 或 St 的两场研讨会，每场价值 3 个学分。
另一个第三次研讨会可以算作专业化科目。
6. 关键资格证书（Fach 6）：
需要通过参加语言课程来获得 6 个学分。
7. 附加资格：
可以通过志愿实践工作获得额外学分，相当于 8 个学分。
这些学分被算作“附加资格”，不能计入学位的120学分，但可以列在最终证书中。
代数和几何 （Ag）、分析 （An）、应用和数值数学 （Nu） 和随机数学 （St）。
 
学习模块包括：
代数和几何领域：
代数
微分几何
几何群论
分析领域：
泛函分析
谱理论
偏微分方程的经典方法
边值和特征值问题
应用和数值数学领域：
微分方程的数值方法
科学计算导论
反问题"
